Date,Open,High,Low,Close,Adj Close,Volume
2009-08-28,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-08-31,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-01,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-02,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-03,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-04,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-08,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-09,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-10,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-11,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-14,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-15,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-16,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-17,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-18,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-21,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-22,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-23,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-24,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-25,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-28,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-29,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-09-30,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-01,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-02,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-05,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-06,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-07,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-08,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-09,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-13,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-14,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-15,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-16,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-19,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-20,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-21,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-22,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-23,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-26,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-27,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-28,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-29,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-10-30,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-03,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-04,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-05,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-06,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-09,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-10,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-11,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-12,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-13,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-16,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-17,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-18,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-19,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-23,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-24,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-25,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-26,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-27,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-11-30,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-01,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-02,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-03,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-04,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-07,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-08,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-09,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-10,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-11,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-14,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-15,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-16,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-17,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-18,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-21,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-22,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-23,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-24,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-28,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-29,2.558434,2.558434,2.558434,2.558434,0.817216,0
2009-12-30,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-04,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-05,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-06,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-07,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-08,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-11,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-12,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-13,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-14,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-15,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-18,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-19,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-20,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-21,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-22,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-26,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-27,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-28,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-01-29,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-01,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-02,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-03,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-04,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-05,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-08,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-09,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-10,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-11,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-12,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-17,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-18,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-19,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-22,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-23,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-24,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-25,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-02-26,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-01,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-02,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-03,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-04,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-05,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-08,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-09,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-10,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-11,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-12,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-15,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-16,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-17,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-18,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-19,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-22,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-23,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-24,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-25,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-26,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-29,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-30,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-03-31,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-01,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-05,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-06,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-07,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-08,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-09,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-12,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-13,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-14,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-15,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-16,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-19,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-20,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-22,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-23,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-26,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-27,2.558434,2.558434,2.558434,2.558434,0.817216,0
2010-04-28,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-04-29,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-04-30,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-03,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-04,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-05,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-06,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-07,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-10,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-11,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-12,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-13,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-14,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-17,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-18,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-19,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-20,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-21,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-24,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-25,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-26,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-27,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-28,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-05-31,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-01,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-02,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-04,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-07,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-08,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-09,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-10,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-11,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-14,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-15,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-16,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-17,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-18,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-21,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-22,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-23,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-24,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-25,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-28,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-29,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-06-30,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-01,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-02,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-05,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-06,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-07,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-08,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-12,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-13,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-14,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-15,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-16,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-19,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-20,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-21,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-22,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-23,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-26,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-27,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-28,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-29,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-07-30,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-02,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-03,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-04,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-05,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-06,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-09,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-10,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-11,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-12,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-13,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-16,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-17,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-18,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-19,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-20,2.558434,2.558434,2.558434,2.558434,0.839796,0
2010-08-23,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-08-24,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-08-25,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-08-26,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-08-27,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-08-30,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-08-31,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-01,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-02,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-03,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-06,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-08,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-09,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-10,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-13,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-14,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-15,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-16,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-17,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-20,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-21,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-22,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-23,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-24,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-27,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-28,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-29,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-09-30,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-10-01,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-10-04,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-10-05,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-10-06,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-10-07,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-10-08,2.558434,2.558434,2.558434,2.558434,0.848479,0
2010-10-11,3.773950,3.773950,3.773950,3.773950,1.251592,2119
2010-10-13,3.773950,3.773950,3.773950,3.773950,1.251592,0
2010-10-14,3.773950,3.773950,3.773950,3.773950,1.251592,0
2010-10-15,3.773950,3.773950,3.773950,3.773950,1.251592,0
2010-10-18,3.773950,3.773950,3.773950,3.773950,1.251592,0
2010-10-19,3.773950,3.773950,3.773950,3.773950,1.251592,0
2010-10-20,3.773950,3.773950,3.773950,3.773950,1.251592,0
2010-10-21,3.680521,3.690902,3.680521,3.690902,1.224050,4238
2010-10-22,3.690902,3.690902,3.690902,3.690902,1.224050,0
2010-10-25,3.690902,3.690902,3.690902,3.690902,1.224050,0
2010-10-26,3.690902,3.690902,3.690902,3.690902,1.224050,0
2010-10-27,3.690902,3.690902,3.690902,3.690902,1.224050,0
2010-10-28,3.727707,3.727707,3.727707,3.727707,1.236256,1059
2010-10-29,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-01,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-03,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-04,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-05,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-08,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-09,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-10,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-11,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-12,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-16,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-17,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-18,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-19,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-22,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-23,3.727707,3.727707,3.727707,3.727707,1.236256,0
2010-11-24,3.964582,3.964582,3.964582,3.964582,1.314813,5298
2010-11-25,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-11-26,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-11-29,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-11-30,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-01,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-02,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-03,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-06,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-07,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-08,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-09,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-10,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-13,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-14,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-15,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-16,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-17,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-20,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-21,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-22,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-23,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-27,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-28,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-29,3.964582,3.964582,3.964582,3.964582,1.314813,0
2010-12-30,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-03,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-04,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-05,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-06,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-07,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-10,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-11,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-12,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-13,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-14,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-17,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-18,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-19,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-20,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-21,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-24,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-26,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-27,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-28,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-01-31,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-02-01,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-02-02,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-02-03,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-02-04,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-02-07,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-02-08,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-02-09,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-02-10,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-02-11,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-02-14,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-02-15,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-02-16,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-02-17,3.964582,3.964582,3.964582,3.964582,1.314813,0
2011-02-18,3.964582,3.964582,3.964582,3.964582,1.314813,0
